domain,dataset,generator,model,mix,error_mean,error_std,f1_mean,ece_mean,cri_mean,cri_std,fidelity_mean,diversity_mean
tabular,BreastCancer,IndepMarginals,LogReg,0.0,0.041882585454478295,0.0034130994214324256,0.9581174145455217,0.029773251250105003,4.280175103232864e-10,7.847274983839663e-12,0.0,7.010628719208999
tabular,BreastCancer,IndepMarginals,LogReg,0.1,0.04604953033867343,0.012946546539666613,0.9539504696613266,0.02901336173259053,0.0033517732127419804,0.003501793340207047,0.23342493925847685,7.1511121555538715
tabular,BreastCancer,IndepMarginals,LogReg,0.3,0.05662490754963873,0.016711380784155058,0.9433750924503612,0.0302305728716603,0.008149939075814414,0.007620792006550259,0.4692139782856304,7.290731021889509
tabular,BreastCancer,IndepMarginals,LogReg,0.5,0.054040568192813034,0.012476672571922942,0.945959431807187,0.0461913865906615,0.00936261843727867,0.007144434419538723,0.6538929895468316,7.368139737511743
tabular,BreastCancer,IndepMarginals,LogReg,0.7,0.060012582566228635,0.009107075151376603,0.9399874174337713,0.044006216635095796,0.011911591632873328,0.0076686309130187084,0.8662155199176471,7.503958724420343
tabular,BreastCancer,IndepMarginals,RandomForest,0.0,0.0462673265484273,0.009491479924912347,0.9537326734515726,0.037605588044184506,4.280175103232864e-10,7.847274983839663e-12,0.0,7.010628719208999
tabular,BreastCancer,IndepMarginals,RandomForest,0.1,0.0483018145149255,0.009363710288584386,0.9516981854850745,0.04441195581546457,0.0024696976356063305,0.002409965605161579,0.23342493925847685,7.1511121555538715
tabular,BreastCancer,IndepMarginals,RandomForest,0.3,0.044203989000026034,0.01079485589718194,0.955796010999974,0.04282001299545157,0.002734488700268363,0.0008573877331993589,0.4692139782856304,7.290731021889509
tabular,BreastCancer,IndepMarginals,RandomForest,0.5,0.052192951792666926,0.009301987597741534,0.947807048207333,0.05527940220922676,0.006543311631326053,0.0033086578291954384,0.6538929895468316,7.368139737511743
tabular,BreastCancer,IndepMarginals,RandomForest,0.7,0.07442615678166697,0.011365896316082709,0.925573843218333,0.07332683560753726,0.021223664629290387,0.0046881259026500845,0.8662155199176471,7.503958724420343
tabular,BreastCancer,NearDuplicate,HistGBM,0.0,0.05024402901635374,0.012368274960826877,0.9497559709836464,0.0403036116015752,4.280175103232864e-10,7.847274983839663e-12,0.0,7.010628719208999
tabular,BreastCancer,NearDuplicate,HistGBM,0.1,0.0483654246740336,0.00985564950063394,0.9516345753259663,0.036147529958786166,0.0021907828838229177,0.003794547263133559,0.24865953253522077,7.069595577516069
tabular,BreastCancer,NearDuplicate,HistGBM,0.3,0.05690562028909393,0.016840043103795027,0.943094379710906,0.04159639506899407,0.007449196150420163,0.003994011079772763,0.3751448824501864,6.978473334771478
tabular,BreastCancer,NearDuplicate,HistGBM,0.5,0.04433765637645496,0.013013396117199734,0.955662343623545,0.040593501632586265,0.0027448435296664234,0.0036505966715369626,0.5602537361051191,6.980179648276539
tabular,BreastCancer,NearDuplicate,HistGBM,0.7,0.06988249796456501,0.011473342711328074,0.930117502035435,0.0610971688125772,0.014365262527482615,0.004976597078551117,0.7365327871900162,7.038636620885278
tabular,BreastCancer,NearDuplicate,LogReg,0.0,0.041882585454478295,0.0034130994214324256,0.9581174145455217,0.029773251250105003,4.280175103232864e-10,7.847274983839663e-12,0.0,7.010628719208999
tabular,BreastCancer,NearDuplicate,LogReg,0.1,0.03766536142369993,0.010709551838954813,0.9623346385763,0.0294528177447971,0.0016594519370146234,0.00283734586324275,0.24865953253522077,7.069595577516069
tabular,BreastCancer,NearDuplicate,LogReg,0.3,0.04631369320708321,0.014679566262594992,0.9536863067929167,0.030116421951810534,0.007380453805133104,0.006564436985349857,0.3751448824501864,6.978473334771478
tabular,BreastCancer,NearDuplicate,LogReg,0.5,0.0399134346229147,0.00952413684650189,0.9600865653770853,0.03550088979731373,0.004688101237624038,0.004375592814506418,0.5602537361051191,6.980179648276539
tabular,BreastCancer,NearDuplicate,LogReg,0.7,0.04004193971166444,0.02224649521456216,0.9599580602883355,0.039272698029351495,0.005475427334294282,0.004263006368137178,0.7365327871900162,7.038636620885278
tabular,BreastCancer,NearDuplicate,RandomForest,0.0,0.0462673265484273,0.009491479924912347,0.9537326734515726,0.037605588044184506,4.280175103232864e-10,7.847274983839663e-12,0.0,7.010628719208999
tabular,BreastCancer,NearDuplicate,RandomForest,0.1,0.04816387947921677,0.012666872598367294,0.9518361205207833,0.03593242365172194,0.002270729986330177,0.001998280454750163,0.24865953253522077,7.069595577516069
tabular,BreastCancer,NearDuplicate,RandomForest,0.3,0.05068279007961817,0.006809461328966767,0.9493172099203817,0.04087069525666013,0.006898881762745492,0.011585532488053222,0.3751448824501864,6.978473334771478
tabular,BreastCancer,NearDuplicate,RandomForest,0.5,0.050782233971112596,0.019305553846562105,0.9492177660288874,0.03885640025990897,0.006901432306730861,0.00363671596607941,0.5602537361051191,6.980179648276539
tabular,BreastCancer,NearDuplicate,RandomForest,0.7,0.07205803886116437,0.01341996266810979,0.9279419611388356,0.04322612085769986,0.014699176991066895,0.0027102305467469386,0.7365327871900162,7.038636620885278
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.0,0.27972203822391856,0.047577249679063356,0.7202779617760814,0.1179786312836021,7.962491332946798e-10,6.633360354190432e-12,0.0,3.767840198045631
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.1,0.2880952280374958,0.03458881457206879,0.7119047719625041,0.12211700392815979,0.006584655385127914,0.005887663425716989,0.2858894704316782,3.790760921819883
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.3,0.27758038300660576,0.024815963079601343,0.7224196169933942,0.11639288838144383,0.0063698614430748495,0.010457636856744102,0.4956883360943603,3.787407409436234
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.5,0.2754431608389037,0.04106577251399814,0.7245568391610963,0.1304191510929416,0.010277370360104997,0.01005849782006318,0.6235109014248842,3.7715007834545755
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.7,0.3136168578337288,0.012490729244536836,0.6863831421662713,0.16478429340012843,0.027131020450880967,0.019783636076400667,0.6626120338250222,3.763756057768672
tabular,PimaDiabetes,GaussianCopula,LogReg,0.0,0.27143025218871103,0.008396012966567362,0.728569747811289,0.06374504902879051,7.962491332946798e-10,6.633360354190432e-12,0.0,3.767840198045631
tabular,PimaDiabetes,GaussianCopula,LogReg,0.1,0.2813651853794517,0.007798025551476401,0.7186348146205482,0.061076638362954995,0.005537055975869322,0.0052980203165012615,0.2858894704316782,3.790760921819883
tabular,PimaDiabetes,GaussianCopula,LogReg,0.3,0.2767716649753538,0.01750611809232109,0.7232283350246461,0.0579390525554856,0.004519984847102875,0.004735859697856205,0.4956883360943603,3.787407409436234
tabular,PimaDiabetes,GaussianCopula,LogReg,0.5,0.300764459878236,0.009443263921911575,0.699235540121764,0.0817176894176228,0.019583769122930448,0.0026338652407871567,0.6235109014248842,3.7715007834545755
tabular,PimaDiabetes,GaussianCopula,LogReg,0.7,0.3077818924154139,0.009059711431476958,0.6922181075845861,0.0883704300941535,0.023923374549094642,0.0026168640083131713,0.6626120338250222,3.763756057768672
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.0,0.2840743413286541,0.034112515373965,0.7159256586713459,0.05791245791245787,7.962491332946798e-10,6.633360354190432e-12,0.0,3.767840198045631
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.1,0.28675640313812784,0.031202152076671617,0.7132435968618722,0.0535714285714285,0.0038181023923031326,0.0066131473319693025,0.2858894704316782,3.790760921819883
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.3,0.28445356371712743,0.012241482348448242,0.7155464362828726,0.05869408369408367,0.006220903376003699,0.005284459122804617,0.4956883360943603,3.787407409436234
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.5,0.2804795962950535,0.05540217179786551,0.7195204037049464,0.08780663780663778,0.01132085567925275,0.007720239104712372,0.6235109014248842,3.7715007834545755
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.7,0.29972433106158086,0.026744689716275884,0.7002756689384192,0.08605098605098599,0.017294169997019448,0.006538046463364427,0.6626120338250222,3.763756057768672
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.0,0.27972203822391856,0.047577249679063356,0.7202779617760814,0.1179786312836021,7.962491332946798e-10,6.633360354190432e-12,0.0,3.767840198045631
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.1,0.28120675768190223,0.040523549282745465,0.7187932423180978,0.11554222876297464,0.0038300864164626546,0.003317630355127142,0.32049553636613887,3.776453875938209
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.3,0.27367000866211116,0.0277145647798493,0.7263299913378889,0.11400118984523129,0.004251243723291914,0.007140604071843362,0.5287492513649886,3.791405711398982
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.5,0.2894828014145591,0.030388212170212106,0.7105171985854408,0.14623870174377182,0.012910764915341058,0.00914937557006972,0.5930500737200318,3.799195147946714
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.7,0.2951593363985712,0.014343251536192344,0.7048406636014287,0.13804011129494306,0.015476648783447558,0.020203832398035176,0.6268514608283274,3.813588179549756
tabular,PimaDiabetes,IndepMarginals,LogReg,0.0,0.27143025218871103,0.008396012966567362,0.728569747811289,0.06374504902879051,7.962491332946798e-10,6.633360354190432e-12,0.0,3.767840198045631
tabular,PimaDiabetes,IndepMarginals,LogReg,0.1,0.28679426225692844,0.017745362491756275,0.7132057377430715,0.062185153715063106,0.007756929009708807,0.006139960944556594,0.32049553636613887,3.776453875938209
tabular,PimaDiabetes,IndepMarginals,LogReg,0.3,0.3042000786207575,0.03226059821099485,0.6957999213792426,0.07994735906422991,0.01986763978583733,0.017572306798568763,0.5287492513649886,3.791405711398982
tabular,PimaDiabetes,IndepMarginals,LogReg,0.5,0.3125854520834492,0.008462195381295487,0.6874145479165508,0.08615545283498639,0.026014052311122093,0.006859942396998496,0.5930500737200318,3.799195147946714
tabular,PimaDiabetes,IndepMarginals,LogReg,0.7,0.30931165639789143,0.020473700679651177,0.6906883436021086,0.10951279503620637,0.028094251306073393,0.007847443692539587,0.6268514608283274,3.813588179549756
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.0,0.2840743413286541,0.034112515373965,0.7159256586713459,0.05791245791245787,7.962491332946798e-10,6.633360354190432e-12,0.0,3.767840198045631
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.1,0.2768414485152759,0.019754107085708936,0.723158551484724,0.054749879749879694,0.0009144116017640907,0.0011175114092088739,0.32049553636613887,3.776453875938209
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.3,0.2710690101364615,0.01367880770531189,0.7289309898635384,0.05869408369408363,0.004897541684006994,0.0030556957323038332,0.5287492513649886,3.791405711398982
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.5,0.2997280084053066,0.01337952617855607,0.7002719915946933,0.07187349687349683,0.013703779060984363,0.005871294301181273,0.5930500737200318,3.799195147946714
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.7,0.3066684648012341,0.017087349770603083,0.6933315351987659,0.09826839826839823,0.019660756916344477,0.007782537907771309,0.6268514608283274,3.813588179549756
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.0,0.27972203822391856,0.047577249679063356,0.7202779617760814,0.1179786312836021,7.962491332946798e-10,6.633360354190432e-12,0.0,3.767840198045631
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.1,0.3023461731426164,0.03437782245139549,0.6976538268573836,0.12170212541624155,0.013481069341370716,0.005209870939893288,0.27889398356662426,3.769339395435482
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.3,0.26802014134083735,0.024449296493728966,0.7319798586591627,0.1314822959734269,0.00794623114340256,0.0074131766396617,0.4288260647251751,3.7877075929840256
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.5,0.2767187215496579,0.021745150477607163,0.7232812784503421,0.14579343263365607,0.01258833057324236,0.005315762944023166,0.7361244496986586,3.7343973066064127
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.7,0.2847592505632082,0.017712783734083682,0.7152407494367917,0.15165121584591565,0.01699888685515749,0.01969060501412853,0.6631172320260809,3.7684689684528636
tabular,PimaDiabetes,NearDuplicate,LogReg,0.0,0.27143025218871103,0.008396012966567362,0.728569747811289,0.06374504902879051,7.962491332946798e-10,6.633360354190432e-12,0.0,3.767840198045631
tabular,PimaDiabetes,NearDuplicate,LogReg,0.1,0.27495710355636516,0.0022601457260203,0.7250428964436347,0.0570019539845583,0.002784370798416931,0.0018499974299376488,0.27889398356662426,3.769339395435482
tabular,PimaDiabetes,NearDuplicate,LogReg,0.3,0.2791875660317486,0.015244445325362833,0.7208124339682515,0.06340824106560188,0.005123509192469427,0.00531410471452938,0.4288260647251751,3.7877075929840256
tabular,PimaDiabetes,NearDuplicate,LogReg,0.5,0.29353405845460245,0.009279143291200666,0.7064659415453974,0.09016314147341976,0.0189813104227428,0.004961773656297182,0.7361244496986586,3.7343973066064127
tabular,PimaDiabetes,NearDuplicate,LogReg,0.7,0.2809043718560076,0.026389565483370608,0.7190956281439925,0.09397373915087447,0.011946066879448025,0.012185467329144158,0.6631172320260809,3.7684689684528636
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.0,0.2840743413286541,0.034112515373965,0.7159256586713459,0.05791245791245787,7.962491332946798e-10,6.633360354190432e-12,0.0,3.767840198045631
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.1,0.2798987827685055,0.036955452433476865,0.7201012172314946,0.06503126503126497,0.0019979968778547487,0.0020048825146906685,0.27889398356662426,3.769339395435482
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.3,0.2839389666662124,0.01601972815688408,0.7160610333337876,0.06640211640211634,0.006694448977947282,0.0018406290253508363,0.4288260647251751,3.7877075929840256
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.5,0.2864449556784548,0.031135938988834433,0.7135550443215452,0.06465848965848964,0.005582858541740638,0.0029140283766735126,0.7361244496986586,3.7343973066064127
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.7,0.2957280350860627,0.025882712748245766,0.7042719649139372,0.0776815776815776,0.011060862691208082,0.00956910852933796,0.6631172320260809,3.7684689684528636
tabular,Wine,GaussianCopula,HistGBM,0.0,0.0,0.0,1.0,0.009029743335426768,6.019116649547129e-10,3.778813351622448e-12,0.0,4.984250945525481
tabular,Wine,GaussianCopula,HistGBM,0.1,0.019462988996548768,0.019069253425881092,0.9805370110034511,0.022404291426671597,0.012526855274675716,0.012035696381288343,0.24096475587379815,5.047958170563091
tabular,Wine,GaussianCopula,HistGBM,0.3,0.0983405646172757,0.026361076083139534,0.9016594353827242,0.0765556265300083,0.06739321025924773,0.011926435747024258,0.4712742242606202,4.925838166362978
tabular,Wine,GaussianCopula,HistGBM,0.5,0.1303508879342913,0.06299023705139069,0.8696491120657086,0.08893750810353566,0.08338690015134527,0.040902627577311994,0.48033577938429034,4.949475661680684
tabular,Wine,GaussianCopula,HistGBM,0.7,0.17927313278190463,0.037574803446013015,0.8207268672180953,0.14705164005136026,0.12030759273051285,0.025205243463645034,0.5524920971901713,4.936072744167724
tabular,Wine,GaussianCopula,LogReg,0.0,0.012588512981904,0.01090197203819906,0.9874114870180959,0.045938905235611095,6.019116649547129e-10,3.778813351622448e-12,0.0,4.984250945525481
tabular,Wine,GaussianCopula,LogReg,0.1,0.012588512981904,0.01090197203819906,0.9874114870180959,0.06756745944309507,0.004325710841496793,0.0032536392614752876,0.24096475587379815,5.047958170563091
tabular,Wine,GaussianCopula,LogReg,0.3,0.0942947428655232,0.03229529124402975,0.9057052571344769,0.06992895311049983,0.05093593780842274,0.018669329458002874,0.4712742242606202,4.925838166362978
tabular,Wine,GaussianCopula,LogReg,0.5,0.1112389029055695,0.01846296925736989,0.8887610970944304,0.0736015599309643,0.05708762913148125,0.0015937764583787302,0.48033577938429034,4.949475661680684
tabular,Wine,GaussianCopula,LogReg,0.7,0.20530210016644115,0.018713120819674686,0.7946978998335589,0.1187128064595213,0.11397822083342446,0.019978642758710044,0.5524920971901713,4.936072744167724
tabular,Wine,GaussianCopula,RandomForest,0.0,0.0,0.0,1.0,0.119753086419753,6.019116649547129e-10,3.778813351622448e-12,0.0,4.984250945525481
tabular,Wine,GaussianCopula,RandomForest,0.1,0.006758832565284134,0.011706641402923209,0.9932411674347158,0.14166666666666658,0.007762132332024778,0.006764648029465378,0.24096475587379815,5.047958170563091
tabular,Wine,GaussianCopula,RandomForest,0.3,0.060646467799819366,0.027529982465312786,0.9393535322001806,0.13065843621399167,0.037818762989381034,0.0064932759907160055,0.4712742242606202,4.925838166362978
tabular,Wine,GaussianCopula,RandomForest,0.5,0.07548480233200454,0.037480502832771524,0.9245151976679953,0.1757716049382716,0.05117600810028384,0.016319624639784796,0.48033577938429034,4.949475661680684
tabular,Wine,GaussianCopula,RandomForest,0.7,0.1420896762605192,0.03786898867822642,0.8579103237394808,0.14048353909465014,0.07825757566161286,0.01620187158604281,0.5524920971901713,4.936072744167724
tabular,Wine,IndepMarginals,HistGBM,0.0,0.0,0.0,1.0,0.009029743335426768,6.019116649547129e-10,3.778813351622448e-12,0.0,4.984250945525481
tabular,Wine,IndepMarginals,HistGBM,0.1,0.011471612606042533,0.009934942910495754,0.9885283873939574,0.016923468805938497,0.007400929948064794,0.006053771429567468,0.2525222677936889,5.038285637666694
tabular,Wine,IndepMarginals,HistGBM,0.3,0.07277149451152,0.018198543415252198,0.9272285054884799,0.058117894742283537,0.048833341174983065,0.008205667266517927,0.47552303802155443,4.956997654989567
tabular,Wine,IndepMarginals,HistGBM,0.5,0.11299684187615221,0.035601102793146086,0.8870031581238478,0.0862751619288562,0.07194750465676199,0.022344472685349025,0.5203607371209306,5.020183222128186
tabular,Wine,IndepMarginals,HistGBM,0.7,0.17929680832906636,0.023445193489292665,0.8207031916709336,0.1517325674935249,0.11970013204927128,0.013721317747490358,0.5761998492229307,4.999517859546175
tabular,Wine,IndepMarginals,LogReg,0.0,0.012588512981904,0.01090197203819906,0.9874114870180959,0.045938905235611095,6.019116649547129e-10,3.778813351622448e-12,0.0,4.984250945525481
tabular,Wine,IndepMarginals,LogReg,0.1,0.018344094347241467,0.018080776006152693,0.9816559056527585,0.04821543505684613,0.004446362447543006,0.003811562722621542,0.2525222677936889,5.038285637666694
tabular,Wine,IndepMarginals,LogReg,0.3,0.055360681167132664,0.018392088618661102,0.9446393188328672,0.05933871416611433,0.027358904977734074,0.002291045753756165,0.47552303802155443,4.956997654989567
tabular,Wine,IndepMarginals,LogReg,0.5,0.08548857349166933,0.011574659094774344,0.9145114265083306,0.07789953277458826,0.04291398808160085,0.014267171983591023,0.5203607371209306,5.020183222128186
tabular,Wine,IndepMarginals,LogReg,0.7,0.12322574822574821,0.010216623608576203,0.8767742517742518,0.08621889784887031,0.0657450604803844,0.014711000094607138,0.5761998492229307,4.999517859546175
tabular,Wine,IndepMarginals,RandomForest,0.0,0.0,0.0,1.0,0.119753086419753,6.019116649547129e-10,3.778813351622448e-12,0.0,4.984250945525481
tabular,Wine,IndepMarginals,RandomForest,0.1,0.012517415068052666,0.010943737268933749,0.9874825849319473,0.1333847736625514,0.009071423533527188,0.00361572279378932,0.2525222677936889,5.038285637666694
tabular,Wine,IndepMarginals,RandomForest,0.3,0.0343011815845203,0.017070942245896118,0.9656988184154796,0.16687242798353907,0.02920442274286908,0.006545942920504462,0.47552303802155443,4.956997654989567
tabular,Wine,IndepMarginals,RandomForest,0.5,0.0560377893711227,0.03215095436421808,0.9439622106288773,0.17890946502057606,0.039850170405725964,0.020006462199944165,0.5203607371209306,5.020183222128186
tabular,Wine,IndepMarginals,RandomForest,0.7,0.13675234112970605,0.021930948211295966,0.8632476588702939,0.13148148148148142,0.074547827445132,0.004761903168788181,0.5761998492229307,4.999517859546175
tabular,Wine,NearDuplicate,HistGBM,0.0,0.0,0.0,1.0,0.009029743335426768,6.019116649547129e-10,3.778813351622448e-12,0.0,4.984250945525481
tabular,Wine,NearDuplicate,HistGBM,0.1,0.017176874900452135,0.017195798330042433,0.9828231250995478,0.01763228491366457,0.010308945765873627,0.009744186251697727,0.2544375491844226,5.051362737972566
tabular,Wine,NearDuplicate,HistGBM,0.3,0.048616958694478074,0.0283957350748381,0.9513830413055219,0.054928643730658804,0.040377976524718154,0.02208958672430173,0.4626574170485089,4.879773692927823
tabular,Wine,NearDuplicate,HistGBM,0.5,0.19987177782317436,0.05202915172912617,0.8001282221768257,0.16081642894460213,0.13875334042060808,0.03123961674016006,0.5230149956192621,4.843429328781696
tabular,Wine,NearDuplicate,HistGBM,0.7,0.2153768217665771,0.06846079440481286,0.7846231782334229,0.17292608035594212,0.14551425548176034,0.04401335691881994,0.5462644943723399,4.900289883870697
tabular,Wine,NearDuplicate,LogReg,0.0,0.012588512981904,0.01090197203819906,0.9874114870180959,0.045938905235611095,6.019116649547129e-10,3.778813351622448e-12,0.0,4.984250945525481
tabular,Wine,NearDuplicate,LogReg,0.1,0.0057130301032740005,0.009895258404041037,0.9942869698967259,0.06299455625844026,0.0034111302045658335,0.002264642691059932,0.2544375491844226,5.051362737972566
tabular,Wine,NearDuplicate,LogReg,0.3,0.06890910579934963,0.02787998228665244,0.9310908942006503,0.0760879655459105,0.041079825569215404,0.02238931063480697,0.4626574170485089,4.879773692927823
tabular,Wine,NearDuplicate,LogReg,0.5,0.10606221849971553,0.024847249781947696,0.8939377815002844,0.08674598195355654,0.06335838248968066,0.013737704612601619,0.5230149956192621,4.843429328781696
tabular,Wine,NearDuplicate,LogReg,0.7,0.13705184082270083,0.07655276686977205,0.8629481591772992,0.08320935640853713,0.07473233134935235,0.03172582094734009,0.5462644943723399,4.900289883870697
tabular,Wine,NearDuplicate,RandomForest,0.0,0.0,0.0,1.0,0.119753086419753,6.019116649547129e-10,3.778813351622448e-12,0.0,4.984250945525481
tabular,Wine,NearDuplicate,RandomForest,0.1,0.0,0.0,1.0,0.12422839506172827,0.0011728395061728393,0.0010811283881566013,0.2544375491844226,5.051362737972566
tabular,Wine,NearDuplicate,RandomForest,0.3,0.0,0.0,1.0,0.17417695473251027,0.017774490760984165,0.00912842445328716,0.4626574170485089,4.879773692927823
tabular,Wine,NearDuplicate,RandomForest,0.5,0.054996380452515765,0.03220684006233828,0.9450036195474842,0.17484567901234563,0.04697682313196221,0.01157327645118454,0.5230149956192621,4.843429328781696
tabular,Wine,NearDuplicate,RandomForest,0.7,0.10888071760334772,0.07239094461287603,0.8911192823966522,0.17381687242798352,0.0702996931976887,0.02885283057506807,0.5462644943723399,4.900289883870697
timeseries,daily-min-temperatures.csv,NearDuplicate,RidgeLags,0.0,0.1543042179108383,0.0,,0.0,6.155208009950286e-10,0.0,0.0,4.8739212631766105
timeseries,daily-min-temperatures.csv,NearDuplicate,RidgeLags,0.1,0.1544374599332633,5.937504812875836e-05,,0.0,0.0006748993639720228,0.0010411139323037641,0.06184344576238727,4.90806318435784
timeseries,daily-min-temperatures.csv,NearDuplicate,RidgeLags,0.3,0.15468696683309527,0.0005182548556784228,,0.0,0.0002056691908677022,0.000240237485555867,0.090570525035897,4.93277615427575
timeseries,daily-min-temperatures.csv,NearDuplicate,RidgeLags,0.5,0.1550616096460391,0.00019893867972718988,,0.0,0.0003786958676004019,9.946933986359441e-05,0.16390715006055426,4.913009239798556
timeseries,daily-min-temperatures.csv,NearDuplicate,RidgeLags,0.7,0.15566487765183556,0.00017084493799559403,,0.0,0.0006803298704986388,8.542246899779702e-05,0.17200780118973755,4.920041675679047
timeseries,daily-min-temperatures.csv,SeasonalBootstrap,RidgeLags,0.0,0.1543042179108383,0.0,,0.0,6.155208009950286e-10,0.0,0.0,4.8739212631766105
