domain,dataset,generator,model,mix,seed,error,f1,ece,diversity,diversity0,fidelity_ks,cri,err0
tabular,BreastCancer,GaussianCopula,HistGBM,0.3,2,0.0506066883693401,0.94939331163066,0.0383902419284871,6.9859928984234925,7.137520614452362,0.9682265335344468,0.006368922795532905,0.0506066883693401
tabular,BreastCancer,GaussianCopula,HistGBM,0.5,2,0.0502645502645502,0.9497354497354498,0.045969878057217,7.011870063922526,7.137520614452362,1.0784816201366605,0.0056281176210480986,0.0506066883693401
tabular,BreastCancer,GaussianCopula,HistGBM,0.7,2,0.0571333110591379,0.942866688940862,0.0494463727544523,7.1676781096056645,7.137520614452362,1.178307036975203,0.004305458660467282,0.0506066883693401
tabular,BreastCancer,GaussianCopula,LogReg,0.0,0,0.0435637078283654,0.9564362921716344,0.0246576221949573,6.880717152254138,6.880717152254138,0.0,4.3600106858221466e-10,0.0435637078283654
tabular,BreastCancer,GaussianCopula,LogReg,0.1,0,0.0376984126984127,0.9623015873015872,0.0235889424642725,7.077277753462826,6.880717152254138,0.1629688261418078,0.0,0.0435637078283654
tabular,BreastCancer,GaussianCopula,LogReg,0.3,0,0.0628306878306879,0.937169312169312,0.0305923055453298,7.073892909392878,6.880717152254138,0.3344949756102151,0.010820426671235752,0.0435637078283654
tabular,BreastCancer,GaussianCopula,LogReg,0.5,0,0.0628306878306879,0.937169312169312,0.0412003956025532,7.130721841724874,6.880717152254138,0.7382613060595599,0.012942044682680433,0.0435637078283654
tabular,BreastCancer,GaussianCopula,LogReg,0.7,0,0.077027027027027,0.922972972972973,0.0318545022820426,7.034462261559247,6.880717152254138,1.045345495524876,0.018171035616747863,0.0435637078283654
tabular,BreastCancer,GaussianCopula,LogReg,0.0,1,0.0441290322580645,0.9558709677419356,0.0349513260546599,7.013648390920497,7.013648390920497,0.0,4.2773744546309444e-10,0.0441290322580645
tabular,BreastCancer,GaussianCopula,LogReg,0.1,1,0.0315207373271889,0.968479262672811,0.0274980022616451,7.084246780398508,7.013648390920497,0.3030439583074259,0.0,0.0441290322580645
tabular,BreastCancer,GaussianCopula,LogReg,0.3,1,0.05673732718894,0.94326267281106,0.0406949816939998,7.153891451400301,7.013648390920497,0.4201120912686576,0.0074528785933057305,0.0441290322580645
tabular,BreastCancer,GaussianCopula,LogReg,0.5,1,0.0447627239071088,0.9552372760928912,0.0428831932856156,7.013222498353079,7.013648390920497,0.4312163669481798,0.0019214367180276646,0.0441290322580645
tabular,BreastCancer,GaussianCopula,LogReg,0.7,1,0.0506066883693401,0.94939331163066,0.0404709909025699,7.071966698703831,7.013648390920497,0.8656053340551417,0.004342761025219799,0.0441290322580645
tabular,BreastCancer,GaussianCopula,LogReg,0.0,2,0.037955016277005,0.962044983722995,0.0297108055006978,7.137520614452362,7.137520614452362,0.0,4.2031401692455e-10,0.037955016277005
tabular,BreastCancer,GaussianCopula,LogReg,0.1,2,0.0251322751322751,0.9748677248677248,0.0234084293512371,6.999122223527266,7.137520614452362,0.1537841081913696,0.005817078851623569,0.037955016277005
tabular,BreastCancer,GaussianCopula,LogReg,0.3,2,0.0447627239071088,0.9552372760928912,0.0385736146999294,6.9859928984234925,7.137520614452362,0.9682265335344468,0.011545338450431125,0.037955016277005
tabular,BreastCancer,GaussianCopula,LogReg,0.5,2,0.0315207373271889,0.968479262672811,0.0455845960612961,7.011870063922526,7.137520614452362,1.0784816201366605,0.008456027357046439,0.037955016277005
tabular,BreastCancer,GaussianCopula,LogReg,0.7,2,0.0628306878306879,0.937169312169312,0.0416088619729799,7.1676781096056645,7.137520614452362,1.178307036975203,0.014817447071297871,0.037955016277005
tabular,BreastCancer,GaussianCopula,RandomForest,0.0,0,0.05673732718894,0.94326267281106,0.0316276803118908,6.880717152254138,6.880717152254138,0.0,4.3600106858221466e-10,0.05673732718894
tabular,BreastCancer,GaussianCopula,RandomForest,0.1,0,0.0628306878306879,0.937169312169312,0.0346003898635477,7.077277753462826,6.880717152254138,0.1629688261418078,0.0036412222312053313,0.05673732718894
tabular,BreastCancer,GaussianCopula,RandomForest,0.3,0,0.0637108792846496,0.9362891207153504,0.0287037037037037,7.073892909392878,6.880717152254138,0.3344949756102151,0.003486776047854797,0.05673732718894
tabular,BreastCancer,GaussianCopula,RandomForest,0.5,0,0.0637108792846496,0.9362891207153504,0.0402534113060428,7.130721841724874,6.880717152254138,0.7382613060595599,0.005211922246685196,0.05673732718894
tabular,BreastCancer,GaussianCopula,RandomForest,0.7,0,0.083769830802276,0.916230169197724,0.0412280701754385,7.034462261559247,6.880717152254138,1.045345495524876,0.01543632977937754,0.05673732718894
tabular,BreastCancer,GaussianCopula,RandomForest,0.0,1,0.0438381248855521,0.9561618751144478,0.0416666666666666,7.013648390920497,7.013648390920497,0.0,4.2773744546309444e-10,0.0438381248855521
tabular,BreastCancer,GaussianCopula,RandomForest,0.1,1,0.0376984126984127,0.9623015873015872,0.0353801169590644,7.084246780398508,7.013648390920497,0.3030439583074259,0.0,0.0438381248855521
tabular,BreastCancer,GaussianCopula,RandomForest,0.3,1,0.0376984126984127,0.9623015873015872,0.0378167641325536,7.153891451400301,7.013648390920497,0.4201120912686576,0.0,0.0438381248855521
tabular,BreastCancer,GaussianCopula,RandomForest,0.5,1,0.0637108792846496,0.9362891207153504,0.0237816764132553,7.013222498353079,7.013648390920497,0.4312163669481798,0.009954594646863118,0.0438381248855521
tabular,BreastCancer,GaussianCopula,RandomForest,0.7,1,0.05673732718894,0.94326267281106,0.0317251461988304,7.071966698703831,7.013648390920497,0.8656053340551417,0.006449601151693948,0.0438381248855521
tabular,BreastCancer,GaussianCopula,RandomForest,0.0,2,0.0382265275707898,0.9617734724292102,0.0395224171539961,7.137520614452362,7.137520614452362,0.0,4.2031401692455e-10,0.0382265275707898
tabular,BreastCancer,GaussianCopula,RandomForest,0.1,2,0.037955016277005,0.962044983722995,0.0480994152046783,6.999122223527266,7.137520614452362,0.1537841081913696,0.00753247846176001,0.0382265275707898
tabular,BreastCancer,GaussianCopula,RandomForest,0.3,2,0.0513513513513512,0.9486486486486488,0.0419103313840157,6.9859928984234925,7.137520614452362,0.9682265335344468,0.013408917531817527,0.0382265275707898
tabular,BreastCancer,GaussianCopula,RandomForest,0.5,2,0.0441290322580645,0.9558709677419356,0.0388401559454189,7.011870063922526,7.137520614452362,1.0784816201366605,0.008232521588564128,0.0382265275707898
tabular,BreastCancer,GaussianCopula,RandomForest,0.7,2,0.0632583604616749,0.936741639538325,0.0342105263157894,7.1676781096056645,7.137520614452362,1.178307036975203,0.012515916445442553,0.0382265275707898
tabular,BreastCancer,IndepMarginals,HistGBM,0.0,0,0.0624269859813084,0.9375730140186916,0.0466697498113671,6.880717152254138,6.880717152254138,0.0,4.3600106858221466e-10,0.0624269859813084
tabular,BreastCancer,IndepMarginals,HistGBM,0.1,0,0.0374561915887849,0.962543808411215,0.0402404798693618,7.174412387931703,6.880717152254138,0.2049129014442687,0.0,0.0624269859813084
tabular,BreastCancer,IndepMarginals,HistGBM,0.3,0,0.0499415887850467,0.9500584112149532,0.0367436423290421,7.309549664248028,6.880717152254138,0.3025007983754429,0.0,0.0624269859813084
tabular,BreastCancer,IndepMarginals,HistGBM,0.5,0,0.0628306878306879,0.937169312169312,0.043652445046336,7.392639271692518,6.880717152254138,0.731139903877846,0.0002018509246897518,0.0624269859813084
tabular,BreastCancer,IndepMarginals,HistGBM,0.7,0,0.069829602405613,0.9301703975943868,0.0603231563197238,7.495027112920834,6.880717152254138,0.790278631117953,0.006431989513823642,0.0624269859813084
tabular,BreastCancer,IndepMarginals,HistGBM,0.0,1,0.0376984126984127,0.9623015873015872,0.0300054488167481,7.013648390920497,7.013648390920497,0.0,4.2773744546309444e-10,0.0376984126984127
tabular,BreastCancer,IndepMarginals,HistGBM,0.1,1,0.0374561915887849,0.962543808411215,0.0321160233508601,7.141418581321611,7.013648390920497,0.3297040801320808,0.00042211490682239963,0.0376984126984127
tabular,BreastCancer,IndepMarginals,HistGBM,0.3,1,0.0499415887850467,0.9500584112149532,0.0403618018311625,7.322427556645175,7.013648390920497,0.4150481033212035,0.00819285864619988,0.0376984126984127
tabular,BreastCancer,IndepMarginals,HistGBM,0.5,1,0.0688884819630104,0.9311115180369895,0.0453983718955215,7.34501609081307,7.013648390920497,0.4262468369553326,0.018673619248053525,0.0376984126984127
tabular,BreastCancer,IndepMarginals,HistGBM,0.7,1,0.0628306878306879,0.937169312169312,0.0477095813960069,7.437869237861816,7.013648390920497,0.743687234760334,0.01610696408198936,0.0376984126984127
tabular,BreastCancer,IndepMarginals,HistGBM,0.0,2,0.0506066883693401,0.94939331163066,0.0442356361766104,7.137520614452362,7.137520614452362,0.0,4.2031401692455e-10,0.0506066883693401
tabular,BreastCancer,IndepMarginals,HistGBM,0.1,2,0.0509687034277197,0.9490312965722802,0.0433024027986024,7.137505497408301,7.137520614452362,0.165657836199081,0.00018164334006265105,0.0506066883693401
tabular,BreastCancer,IndepMarginals,HistGBM,0.3,2,0.037955016277005,0.962044983722995,0.0348745742863389,7.240215844775323,7.137520614452362,0.6900930331602447,0.0,0.0506066883693401
tabular,BreastCancer,IndepMarginals,HistGBM,0.5,2,0.0506066883693401,0.94939331163066,0.0452107668761592,7.366763850029637,7.137520614452362,0.8042922278073161,0.00019502613990975972,0.0506066883693401
tabular,BreastCancer,IndepMarginals,HistGBM,0.7,2,0.07591003255401,0.92408996744599,0.0615815684015921,7.578979822478379,7.137520614452362,1.0646806938746542,0.016120858537331296,0.0506066883693401
tabular,BreastCancer,IndepMarginals,LogReg,0.0,0,0.0435637078283654,0.9564362921716344,0.0246576221949573,6.880717152254138,6.880717152254138,0.0,4.3600106858221466e-10,0.0435637078283654
tabular,BreastCancer,IndepMarginals,LogReg,0.1,0,0.0563633034242812,0.9436366965757188,0.027593257325719,7.174412387931703,6.880717152254138,0.2049129014442687,0.0069869248241102395,0.0435637078283654
tabular,BreastCancer,IndepMarginals,LogReg,0.3,0,0.0693456221198156,0.9306543778801843,0.0356977836719895,7.309549664248028,6.880717152254138,0.3025007983754429,0.015098989441131541,0.0435637078283654
tabular,BreastCancer,IndepMarginals,LogReg,0.5,0,0.0680510835353279,0.931948916464672,0.0511961057380804,7.392639271692518,6.880717152254138,0.731139903877846,0.017551384562105875,0.0435637078283654
tabular,BreastCancer,IndepMarginals,LogReg,0.7,0,0.0624269859813084,0.9375730140186916,0.0578162773973362,7.495027112920834,6.880717152254138,0.790278631117953,0.016063370116947282,0.0435637078283654
tabular,BreastCancer,IndepMarginals,LogReg,0.0,1,0.0441290322580645,0.9558709677419356,0.0349513260546599,7.013648390920497,7.013648390920497,0.0,4.2773744546309444e-10,0.0441290322580645
tabular,BreastCancer,IndepMarginals,LogReg,0.1,1,0.0502645502645502,0.9497354497354498,0.0318914349557135,7.141418581321611,7.013648390920497,0.3297040801320808,0.00306775900324285,0.0441290322580645
tabular,BreastCancer,IndepMarginals,LogReg,0.3,1,0.0628306878306879,0.937169312169312,0.0255217480813963,7.322427556645175,7.013648390920497,0.4150481033212035,0.009350827786311702,0.0441290322580645
tabular,BreastCancer,IndepMarginals,LogReg,0.5,1,0.0499415887850467,0.9500584112149532,0.0424280261353609,7.34501609081307,7.013648390920497,0.4262468369553326,0.004401618279631302,0.0441290322580645
tabular,BreastCancer,IndepMarginals,LogReg,0.7,1,0.0499415887850467,0.9500584112149532,0.0357310760950099,7.437869237861816,7.013648390920497,0.743687234760334,0.0030622282715611028,0.0441290322580645
tabular,BreastCancer,IndepMarginals,LogReg,0.0,2,0.037955016277005,0.962044983722995,0.0297108055006978,7.137520614452362,7.137520614452362,0.0,4.2031401692455e-10,0.037955016277005
tabular,BreastCancer,IndepMarginals,LogReg,0.1,2,0.0315207373271889,0.968479262672811,0.0275553929163391,7.137505497408301,7.137520614452362,0.165657836199081,6.35810872851028e-07,0.037955016277005
tabular,BreastCancer,IndepMarginals,LogReg,0.3,2,0.0376984126984127,0.9623015873015872,0.0294721868615951,7.240215844775323,7.137520614452362,0.6900930331602447,0.0,0.037955016277005
tabular,BreastCancer,IndepMarginals,LogReg,0.5,2,0.0441290322580645,0.9558709677419356,0.0449500278985432,7.366763850029637,7.137520614452362,0.8042922278073161,0.0061348524700988285,0.037955016277005
tabular,BreastCancer,IndepMarginals,LogReg,0.7,2,0.0676691729323308,0.9323308270676692,0.0384712964129413,7.578979822478379,7.137520614452362,1.0646806938746542,0.016609176510111595,0.037955016277005
tabular,BreastCancer,IndepMarginals,RandomForest,0.0,0,0.05673732718894,0.94326267281106,0.0316276803118908,6.880717152254138,6.880717152254138,0.0,4.3600106858221466e-10,0.05673732718894
tabular,BreastCancer,IndepMarginals,RandomForest,0.1,0,0.05673732718894,0.94326267281106,0.0445906432748538,7.174412387931703,6.880717152254138,0.2049129014442687,0.0025925925925925995,0.05673732718894
tabular,BreastCancer,IndepMarginals,RandomForest,0.3,0,0.0506066883693401,0.94939331163066,0.0403508771929824,7.309549664248028,6.880717152254138,0.3025007983754429,0.0017446393762183196,0.05673732718894
tabular,BreastCancer,IndepMarginals,RandomForest,0.5,0,0.0620464441219157,0.9379535558780844,0.0582846003898635,7.392639271692518,6.880717152254138,0.731139903877846,0.00798594248208239,0.05673732718894
tabular,BreastCancer,IndepMarginals,RandomForest,0.7,0,0.0819539170506912,0.9180460829493088,0.0659356725146198,7.495027112920834,6.880717152254138,0.790278631117953,0.019469893371421403,0.05673732718894
tabular,BreastCancer,IndepMarginals,RandomForest,0.0,1,0.0438381248855521,0.9561618751144478,0.0416666666666666,7.013648390920497,7.013648390920497,0.0,4.2773744546309444e-10,0.0438381248855521
tabular,BreastCancer,IndepMarginals,RandomForest,0.1,1,0.0499415887850467,0.9500584112149532,0.0504873294346978,7.141418581321611,7.013648390920497,0.3297040801320808,0.004815864503353541,0.0438381248855521
tabular,BreastCancer,IndepMarginals,RandomForest,0.3,1,0.0502645502645502,0.9497354497354498,0.0323586744639376,7.322427556645175,7.013648390920497,0.4150481033212035,0.003213212689499048,0.0438381248855521
tabular,BreastCancer,IndepMarginals,RandomForest,0.5,1,0.0435637078283654,0.9564362921716344,0.055458089668616,7.34501609081307,7.013648390920497,0.4262468369553326,0.0027582846003898795,0.0438381248855521
tabular,BreastCancer,IndepMarginals,RandomForest,0.7,1,0.0613518943742824,0.9386481056257177,0.0862085769980506,7.437869237861816,7.013648390920497,0.743687234760334,0.01766526681064195,0.0438381248855521
tabular,BreastCancer,IndepMarginals,RandomForest,0.0,2,0.0382265275707898,0.9617734724292102,0.0395224171539961,7.137520614452362,7.137520614452362,0.0,4.2031401692455e-10,0.0382265275707898
tabular,BreastCancer,IndepMarginals,RandomForest,0.1,2,0.0382265275707898,0.9617734724292102,0.0381578947368421,7.137505497408301,7.137520614452362,0.165657836199081,6.35810872851028e-07,0.0382265275707898
tabular,BreastCancer,IndepMarginals,RandomForest,0.3,2,0.0317407283661878,0.9682592716338122,0.0557504873294347,7.240215844775323,7.137520614452362,0.6900930331602447,0.0032456140350877213,0.0382265275707898
tabular,BreastCancer,IndepMarginals,RandomForest,0.5,2,0.0509687034277197,0.9490312965722802,0.0520955165692008,7.366763850029637,7.137520614452362,0.8042922278073161,0.008885707811505888,0.0382265275707898
tabular,BreastCancer,IndepMarginals,RandomForest,0.7,2,0.0799726589200273,0.9200273410799726,0.0678362573099414,7.578979822478379,7.137520614452362,1.0646806938746542,0.026535833705807813,0.0382265275707898
tabular,BreastCancer,NearDuplicate,HistGBM,0.0,0,0.0624269859813084,0.9375730140186916,0.0466697498113671,6.880717152254138,6.880717152254138,0.0,4.3600106858221466e-10,0.0624269859813084
tabular,BreastCancer,NearDuplicate,HistGBM,0.1,0,0.0502645502645502,0.9497354497354498,0.0338583969452705,7.068181905951335,6.880717152254138,0.1752191097210521,0.0,0.0624269859813084
tabular,BreastCancer,NearDuplicate,HistGBM,0.3,0,0.07591003255401,0.92408996744599,0.0548951544963328,6.97880653636211,6.880717152254138,0.3430342879742344,0.008386604223343943,0.0624269859813084
tabular,BreastCancer,NearDuplicate,HistGBM,0.5,0,0.0571333110591379,0.942866688940862,0.0445973120557074,6.935051457858651,6.880717152254138,0.5929360046569273,0.0,0.0624269859813084
tabular,BreastCancer,NearDuplicate,HistGBM,0.7,0,0.0831307729703452,0.9168692270296548,0.0782419084794993,6.940904629777386,6.880717152254138,0.6547887342025707,0.01666632522814484,0.0624269859813084
tabular,BreastCancer,NearDuplicate,HistGBM,0.0,1,0.0376984126984127,0.9623015873015872,0.0300054488167481,7.013648390920497,7.013648390920497,0.0,4.2773744546309444e-10,0.0376984126984127
tabular,BreastCancer,NearDuplicate,HistGBM,0.1,1,0.0376984126984127,0.9623015873015872,0.0290592763495001,7.075677098566108,7.013648390920497,0.3343639632035975,0.0,0.0376984126984127
tabular,BreastCancer,NearDuplicate,HistGBM,0.3,1,0.0438381248855521,0.9561618751144478,0.0291403131338786,7.073905199198897,7.013648390920497,0.3753607607636466,0.0030698560935697,0.0376984126984127
tabular,BreastCancer,NearDuplicate,HistGBM,0.5,1,0.0311169341631182,0.9688830658368818,0.0367387687956426,7.031841162077226,7.013648390920497,0.4671796648175847,0.0013466639957788998,0.0376984126984127
tabular,BreastCancer,NearDuplicate,HistGBM,0.7,1,0.0632583604616749,0.936741639538325,0.054980195426524,7.065129411430744,7.013648390920497,1.0273250927562332,0.01777492320358628,0.0376984126984127
tabular,BreastCancer,NearDuplicate,HistGBM,0.0,2,0.0506066883693401,0.94939331163066,0.0442356361766104,7.137520614452362,7.137520614452362,0.0,4.2031401692455e-10,0.0506066883693401
tabular,BreastCancer,NearDuplicate,HistGBM,0.1,2,0.0571333110591379,0.942866688940862,0.0455249165815879,7.064927728030766,7.137520614452362,0.2363955246810127,0.0065723486514687535,0.0506066883693401
tabular,BreastCancer,NearDuplicate,HistGBM,0.3,2,0.0509687034277197,0.9490312965722802,0.0407537175767708,6.882708268753427,7.137520614452362,0.4070395986126781,0.010891128134346848,0.0506066883693401
tabular,BreastCancer,NearDuplicate,HistGBM,0.5,2,0.0447627239071088,0.9552372760928912,0.0404444240464088,6.973646324893739,7.137520614452362,0.6206455388408452,0.006887866593220371,0.0506066883693401
tabular,BreastCancer,NearDuplicate,HistGBM,0.7,2,0.0632583604616749,0.936741639538325,0.0500694025317083,7.109875821447703,7.137520614452362,0.5274845346112449,0.008654539150716725,0.0506066883693401
tabular,BreastCancer,NearDuplicate,LogReg,0.0,0,0.0435637078283654,0.9564362921716344,0.0246576221949573,6.880717152254138,6.880717152254138,0.0,4.3600106858221466e-10,0.0435637078283654
tabular,BreastCancer,NearDuplicate,LogReg,0.1,0,0.0435637078283654,0.9564362921716344,0.0248711816101001,7.068181905951335,6.880717152254138,0.1752191097210521,4.2711883028560135e-05,0.0435637078283654
tabular,BreastCancer,NearDuplicate,LogReg,0.3,0,0.0374561915887849,0.962543808411215,0.0170330289923506,6.97880653636211,6.880717152254138,0.3430342879742344,0.0,0.0435637078283654
tabular,BreastCancer,NearDuplicate,LogReg,0.5,0,0.0502645502645502,0.9497354497354498,0.0349083152131684,6.935051457858651,6.880717152254138,0.5929360046569273,0.005400559821734621,0.0435637078283654
tabular,BreastCancer,NearDuplicate,LogReg,0.7,0,0.037955016277005,0.962044983722995,0.0366832600945719,6.940904629777386,6.880717152254138,0.6547887342025707,0.0024051275799229204,0.0435637078283654
tabular,BreastCancer,NearDuplicate,LogReg,0.0,1,0.0441290322580645,0.9558709677419356,0.0349513260546599,7.013648390920497,7.013648390920497,0.0,4.2773744546309444e-10,0.0441290322580645
tabular,BreastCancer,NearDuplicate,LogReg,0.1,1,0.0441290322580645,0.9558709677419356,0.0243541526113886,7.075677098566108,7.013648390920497,0.3343639632035975,0.0,0.0441290322580645
tabular,BreastCancer,NearDuplicate,LogReg,0.3,1,0.0632583604616749,0.936741639538325,0.0350005850029374,7.073905199198897,7.013648390920497,0.3753607607636466,0.009574515891460704,0.0441290322580645
tabular,BreastCancer,NearDuplicate,LogReg,0.5,1,0.037955016277005,0.962044983722995,0.0330041621884894,7.031841162077226,7.013648390920497,0.4671796648175847,0.0,0.0441290322580645
tabular,BreastCancer,NearDuplicate,LogReg,0.7,1,0.0632583604616749,0.936741639538325,0.0388415997651351,7.065129411430744,7.013648390920497,1.0273250927562332,0.010342718843900244,0.0441290322580645
tabular,BreastCancer,NearDuplicate,LogReg,0.0,2,0.037955016277005,0.962044983722995,0.0297108055006978,7.137520614452362,7.137520614452362,0.0,4.2031401692455e-10,0.037955016277005
tabular,BreastCancer,NearDuplicate,LogReg,0.1,2,0.0253033441846699,0.97469665581533,0.0391331190129026,7.064927728030766,7.137520614452362,0.2363955246810127,0.00493564392801531,0.037955016277005
tabular,BreastCancer,NearDuplicate,LogReg,0.3,2,0.0382265275707898,0.9617734724292102,0.0383156518601436,6.882708268753427,7.137520614452362,0.4070395986126781,0.012566845523938608,0.037955016277005
tabular,BreastCancer,NearDuplicate,LogReg,0.5,2,0.0315207373271889,0.968479262672811,0.0385901919902834,6.973646324893739,7.137520614452362,0.6206455388408452,0.008663743891137492,0.037955016277005
tabular,BreastCancer,NearDuplicate,LogReg,0.7,2,0.0189124423963134,0.9810875576036866,0.0422932342283475,7.109875821447703,7.137520614452362,0.5274845346112449,0.003678435579059681,0.037955016277005
tabular,BreastCancer,NearDuplicate,RandomForest,0.0,0,0.05673732718894,0.94326267281106,0.0316276803118908,6.880717152254138,6.880717152254138,0.0,4.3600106858221466e-10,0.05673732718894
tabular,BreastCancer,NearDuplicate,RandomForest,0.1,0,0.0624269859813084,0.9375730140186916,0.0362085769980507,7.068181905951335,6.880717152254138,0.1752191097210521,0.003761008733416179,0.05673732718894
tabular,BreastCancer,NearDuplicate,RandomForest,0.3,0,0.0571333110591379,0.942866688940862,0.0327485380116958,6.97880653636211,6.880717152254138,0.3430342879742344,0.0004221634750599501,0.05673732718894
tabular,BreastCancer,NearDuplicate,RandomForest,0.5,0,0.0703414232825998,0.9296585767174002,0.0326510721247563,6.935051457858651,6.880717152254138,0.5929360046569273,0.0070067264094030015,0.05673732718894
tabular,BreastCancer,NearDuplicate,RandomForest,0.7,0,0.0831307729703452,0.9168692270296548,0.0480506822612087,6.940904629777386,6.880717152254138,0.6547887342025707,0.01648132328056618,0.05673732718894
tabular,BreastCancer,NearDuplicate,RandomForest,0.0,1,0.0438381248855521,0.9561618751144478,0.0416666666666666,7.013648390920497,7.013648390920497,0.0,4.2773744546309444e-10,0.0438381248855521
tabular,BreastCancer,NearDuplicate,RandomForest,0.1,1,0.0438381248855521,0.9561618751144478,0.0337719298245615,7.075677098566108,7.013648390920497,0.3343639632035975,0.0,0.0438381248855521
tabular,BreastCancer,NearDuplicate,RandomForest,0.3,1,0.0435637078283654,0.9564362921716344,0.0353313840155946,7.073905199198897,7.013648390920497,0.3753607607636466,0.0,0.0438381248855521
tabular,BreastCancer,NearDuplicate,RandomForest,0.5,1,0.0502645502645502,0.9497354497354498,0.0264132553606237,7.031841162077226,7.013648390920497,0.4671796648175847,0.003213212689499048,0.0438381248855521
tabular,BreastCancer,NearDuplicate,RandomForest,0.7,1,0.07591003255401,0.92408996744599,0.037280701754386,7.065129411430744,7.013648390920497,1.0273250927562332,0.016035953834228952,0.0438381248855521
tabular,BreastCancer,NearDuplicate,RandomForest,0.0,2,0.0382265275707898,0.9617734724292102,0.0395224171539961,7.137520614452362,7.137520614452362,0.0,4.2031401692455e-10,0.0382265275707898
tabular,BreastCancer,NearDuplicate,RandomForest,0.1,2,0.0382265275707898,0.9617734724292102,0.0378167641325536,7.064927728030766,7.137520614452362,0.2363955246810127,0.003051181225574351,0.0382265275707898
tabular,BreastCancer,NearDuplicate,RandomForest,0.3,2,0.0513513513513512,0.9486486486486488,0.05453216374269,6.882708268753427,7.137520614452362,0.4070395986126781,0.020274481813176527,0.0382265275707898
tabular,BreastCancer,NearDuplicate,RandomForest,0.5,2,0.0317407283661878,0.9682592716338122,0.0575048732943469,6.973646324893739,7.137520614452362,0.6206455388408452,0.010484357821290532,0.0382265275707898
tabular,BreastCancer,NearDuplicate,RandomForest,0.7,2,0.0571333110591379,0.942866688940862,0.0443469785575049,7.109875821447703,7.137520614452362,0.5274845346112449,0.011580253858405552,0.0382265275707898
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.0,0,0.2253564979139424,0.7746435020860576,0.1060641279472467,3.748707456500085,3.748707456500085,0.0,8.002758455916137e-10,0.2253564979139424
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.1,0,0.2516339869281045,0.7483660130718954,0.1021325944781671,3.775843125712053,3.748707456500085,0.2396296192495114,0.013138744507081052,0.2253564979139424
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.3,0,0.2603606727934802,0.7396393272065198,0.1107705021623353,3.765656381120918,3.748707456500085,0.5454087250630779,0.018443362282786608,0.2253564979139424
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.5,0,0.2526105881596157,0.7473894118403843,0.1384373267046518,3.7801434569967753,3.748707456500085,0.8239793311356062,0.020101684874317655,0.2253564979139424
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.7,0,0.300416160915554,0.699583839084446,0.1641695450376965,3.747132800254424,3.748707456500085,0.4874594745166188,0.049276931653442206,0.2253564979139424
